File Name,File Path,Sheets
08_DATA_Cleaned_AR_Fanta_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_AR_Fanta_Regular.xlsx,N/A
08_DATA_Cleaned_AR_Sprite Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_AR_Sprite Regular.xlsx,N/A
08_DATA_Cleaned_AR_Sprite Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_AR_Sprite Zero.xlsx,N/A
08_DATA_Cleaned_Australia_Fanta Regular V01 100522.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Australia_Fanta Regular V01 100522.xlsx,N/A
08_DATA_Cleaned_Australia_Fanta Zero_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Australia_Fanta Zero_v2.xlsx,N/A
08_DATA_Cleaned_Australia_Sprite Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Australia_Sprite Zero.xlsx,N/A
08_DATA_Cleaned_BE_Sprite Regular_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_BE_Sprite Regular_v2.xlsx,N/A
08_DATA_Cleaned_BR_Fanta_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_BR_Fanta_Regular.xlsx,N/A
08_DATA_Cleaned_BR_Sprite Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_BR_Sprite Regular.xlsx,N/A
08_DATA_Cleaned_BR_Sprite_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_BR_Sprite_Zero.xlsx,N/A
